Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Transmission,Body type,Fuel type,Engine capacity,Mileage
7500000.0,Toyota,Prius,2Nd Gen,2011,Automatic,Saloon,Petrol,1500.0,211000.0
24950000.0,Bmw,218I,Bmw 218I Msport 2023,2023,Automatic,Saloon,Petrol,1500.0,18500.0
13000000.0,Peugeot,3008,Allure,2018,Tiptronic,Suv / 4X4,Petrol,1200.0,109500.0
23000000.0,Audi,A3,Sline Highest Spec,2023,Automatic,Saloon,Petrol,1000.0,10000.0
8500000.0,Toyota,Vitz,Toyota,2018,Automatic,Hatchback,Petrol,990.0,43000.0
12950000.0,Toyota,Chr,Ngx10,2018,Automatic,Hatchback,Petrol,1200.0,95000.0
1850000.0,Maruti,Other Model,Omini,2004,Manual,Hatchback,Petrol,800.0,50600.0
4755000.0,Perodua,Viva Elite,Unknown,2013,Automatic,Hatchback,Petrol,1000.0,90500.0
16500000.0,Bmw,528I,F10 Fully Loaded,2011,Tiptronic,Saloon,Petrol,2000.0,152000.0
6100000.0,Toyota,Vitz,Ksp 90 Rs,2010,Automatic,Hatchback,Petrol,1300.0,188000.0
20000000.0,Mercedes Benz,A180,Amg Sedan,2020,Automatic,Saloon,Petrol,1332.0,37000.0
5690000.0,Suzuki,Wagon R Fz,Unknown,2016,Automatic,Hatchback,Petrol,660.0,109000.0
16500000.0,Honda,Crv,Vti-Lx,2018,Automatic,Suv / 4X4,Petrol,1500.0,164000.0
16800000.0,Bmw,X1,M Sport,2018,Tiptronic,Suv / 4X4,Petrol,1500.0,64500.0
14900000.0,Mitsubishi,Outlander,2015,2015,Automatic,Suv / 4X4,Petrol,2400.0,120000.0
36500000.0,Toyota,Land Cruiser Prado,150,2015,Tiptronic,Suv / 4X4,Petrol,2700.0,112000.0
